Respondent_Serial,Main Brand,Service provider,Month,City,Region,Detailed_Nationality,Nationality,Gender,Performance,Preference,TRIM_Score
10021596,Mobily - Postpaid,Mobily,Jun'18,AD DAMMAM,Eastern,Saudis,Nationals,Male,3,2,2.5
10024275,Mobily - Postpaid,Mobily,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,3,3,3
10022041,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,4,3,3.5
10022990,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,4,4,4
10022440,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,3,1,2
10022142,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,2,3,2.5
10024374,Mobily - Postpaid,Mobily,Jun'18,SAKAKA,Northern,Saudis,Nationals,Male,5,3,4
10020393,Mobily - Postpaid,Mobily,Jun'18,AL JUBAIL,Eastern,Saudis,Nationals,Male,4,4,4
10024214,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,2,3,2.5
10023290,Mobily - Prepaid,Mobily,Jun'18,YANBU AL BAHAR,Northern,Saudis,Nationals,Male,3,4,3.5
10024648,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Female,2,4,3
10024629,Mobily - Postpaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,2,2,2
10023433,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,3,3,3
10021882,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Female,4,5,4.5
10022904,Mobily - Prepaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Female,1,3,2
10023099,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,4,3,3.5
10025046,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,3,1,2
10023373,Mobily - Prepaid,Mobily,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,3,4,3.5
10023916,Mobily - Postpaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Female,4,3,3.5
10023119,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,4,5,4.5
10019416,Mobile - Data SIM,Mobily,Jun'18,NAJRAN,Southern,Saudis,Nationals,Male,1,1,1
10022666,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,3,3,3
10022769,Mobily - Prepaid,Mobily,Jun'18,HAIL,Northern,Saudis,Nationals,Male,3,1,2
10022008,Mobile - Data SIM,Mobily,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,3,3,3
10019629,Mobily - Postpaid,Mobily,Jun'18,AT TAIF,Western,Saudis,Nationals,Male,1,1,1
10015821,Mobily - Postpaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Male,3,3,3
10022967,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Female,2,2,2
10024239,Mobily - Postpaid,Mobily,Jun'18,AL MADINAH AL MUNAWWARAH,Northern,Saudis,Nationals,Male,3,3,3
10025057,Mobily - Internet on Mobile,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Female,3,2,2.5
10015966,Mobily - Postpaid,Mobily,Jun'18,AR&apos;AR,Northern,Saudis,Nationals,Male,2,2,2
10020496,Mobily - Prepaid,Mobily,Jun'18,JEDDAH,Western,Saudis,Nationals,Male,5,5,5
10024957,Mobily - Postpaid,Mobily,Jun'18,AR RIYADH,Central,Saudis,Nationals,Male,2,1,1.5
10022896,Mobily - Prepaid,Mobily,Jun'18,MAKKAH AL MUKARRAMAH,Western,Saudis,Nationals,Male,1,2,1.5
10015984,Mobily - Postpaid,Mobily,Jun'18,AL KHUBAR,Eastern,Saudis,Nationals,Male,3,3,3
10022464,Mobily - Prepaid,Mobily,Jun'18,TABUK,Northern,Saudis,Nationals,Male,1,3,2
10022469,Mobily - Prepaid,Mobily,Jun'18,Other (specify):,Others,Saudis,Nationals,Female,5,3,4
